"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Phonebook Application","0","Contact Management","12","19","Contact Update Validation","0"
"0","","0","","0","1","","0"
"0","Phonebook Application","0","Contact Management","22","1","Field Validation","0"
"0","Phonebook Application","0","Authentication","1","0","Successful Login","0"
"0","Phonebook Application","0","Authentication","4","0","Login Validation","0"
"0","Phonebook Application","0","User Registration","5","0","Email Validation","0"
"0","Phonebook Application","0","Contact Management","2","0","Optional Fields Handling","0"
"0","Phonebook Application","0","User Registration","7","0","Password Validation","0"
"0","Phonebook Application","0","Contact Management","1","0","Successful Contact Creation","0"
"0","Phonebook Application","0","Contact Management","1","0","Form Validation","0"
"0","Phonebook Application","0","User Registration","3","0","Registration Validation","0"
"0","Phonebook Application","0","Contact Management","2","0","Duplicate Control","0"
"0","Phonebook Application","0","User Registration","1","0","Successful Registration","0"
"0","Phonebook Application","0","Authentication","2","0","Negative Authentication","0"
"0","Phonebook Application","0","Contact Management","1","0","Contact Update","0"
